name_en,name_ko
Garambarrel,가람배럴
Garambarrel AS,가람배럴 AS
Gariyu,가리유
Gariyu AS,가리유 AS
Thornbound Witch,가시나무 저주의 여인
Galliard,갤리어드
Black Clad Sw.,검은 옷의 칼잡이
Blooming Blade,국화의검색
Guildna,길드너
Nocturne Ninja,까마귀 밤의 밀정
Dream Weaver,꿈의 음유 시인
Nagi,나기
Nagi AS,나기 AS
Nagi ES,나기 ES
Natore,나토레
Nero,네로
Naylia,네일리아
Necoco,네코코
Necoco AS,네코코 AS
Necoco ES,네코코 ES
Nona,노나
Nona AS,노나 AS
Nonold,노놀드
Nomar,노마르
Nopaew,노포우족
Noahxis,녹시스
Noahxis AS,녹시스 AS
Noome,누므
Nilya,니르야
Nikeh,니케
Nikeh AS,니케 AS
Nixa,닉사
Darunis,다르니스
Denny,데니
Undercover Scribe,도희의 자객
Dunarith,듀나리스
Dunarith AS,듀나리스 AS
Dewey,듀이
Dewey AS,듀이 AS
Deirdre,디아드라
Radias,라디아스
Radias AS,라디아스 AS
Radica,라디카
Radica AS,라디카 AS
Lovinia,라비나
Ryza,라이자
Laclair,라클레어
Laclair AS,라클레어 AS
Lovely,러블리
Lovely AS,러블리 AS
Lele,레레
Lele AS,레레 AS
Levia,레비아
Levia AS,레비아 AS
Raven,레이븐
Raven AS,레이븐 AS
Renri,렌리
Renri AS,렌리 AS
Rodeia,로디아
Rovella,로벨라
Lloyd,로이드
Rosetta,로제타
Rosetta AS,로제타 AS
Lokido,로키드
Lokido AS,로키드 AS
Ruina,루이나
Ruina AS,루이나 AS
Rufus,루프스
Rufus AS,루프스 AS
Wryz,류제
Linaria,리나리아
Riica,리이카
Lingli,링리
Lingli AS,링리 AS
Mana,마나
Mariel,마리엘
Mariel AS,마리엘 AS
Mariel ES,마리엘 ES
Mayu,마유
Mai,마이
Mighty,마이티
Mighty AS,마이티 AS
Mazrika,마츠리카
Jet Tactician,먹빛의 책사
Jet Tactician (Another Style),먹빛의 책사 AS
Menesia,메네시아
Melina,메리나
Melina AS,메리나 AS
Melina ES,메리나 ES
May,메이
Melody,멜로디
Melody AS,멜로디 AS
Melissa,멜리사
Melpiphia,멜피피아
Morgana,모르가나
Myron,뮤론
Myrus,뮬루스
Myrus AS,뮬루스 AS
Minalca,미나르카
Minalca AS,미나르카 AS
Milla,미라
Miranda,미란다
Milsha,미르샤
Milsha AS,미르샤 AS
Mistrare,미스트레아
Mistrare AS,미스트레아 AS
Miyu,미유
Miyu AS,미유 AS
Miyu ES,미유 ES
Myunfa,밍화
Myunfa AS,밍화 AS
Violet,바이올렛
Porcelain Pixie,백자의 마인
Benedict,베네디트
Velette,베레토
Velette AS,베레토 AS
Bertrand,베르트랑
Bertrand AS,베르트랑 AS
Veina,베이나
Veina AS,베이나 AS
Velvet,벨벳
Starky,별이
Violet Lancer,보라 의상의 창술사
Ruby-Sleeved Merchant,붉은 소매의 행상인
Breeno,브리노
Bria,브리아
Bivette,비베트
Biaka,비아카
Biaka AS,비아카 AS
Victor,빅트
Victor AS,빅트 AS
Hoarfrost Songstress,빙무의 가희
Red Clad Flam.,빨간 외투의 화염술사
Red Clad Flam. (Another Style),빨간 외투의 화염술사 AS
Samora,사모라
Sauria,사우리아
Cyrus,사이러스 (스토리)
Cyrus Albright,사이러스 (협주)
Sazanca,사잔카
Saki,사키
Saki AS,사키 AS
Shannon,섀넌
Shannon AS,섀넌 AS
Serge,세르주
Cerius,세리에스
Sevyn,세빈
Saithe,세스
Sesta,세스타
Sesta AS,세스타 AS
Cetie,세티
Cetie AS,세티 AS
Senya,센야
Senya AS,센야 AS
Cerrine,셀리느
Cerrine AS,셀리느 AS
Shanie,셰이네
Shanie AS,셰이네 AS
Xianhua,셴화
Soira,소이라
Soira AS,소이라 AS
Sophia,소피아
Suzette,수제트
Suzette AS,수제트 AS
Suzette ES,수제트 ES
Skull,스컬
Shigure,시구레
Shigure AS,시구레 AS
Shigure ES,시구레 ES
Sheila,시에라
Sheila AS,시에라 AS
Ciel,시엘
Ciel AS,시엘 AS
Shion,시온
Shionne,시온 (협주)
Shion AS,시온 AS
Shion ES,시온 ES
Cynthia,신시아
